# strike     dip        rake
  152.6428    62.1870   -36.0606
  152.2017    61.6755   -38.6322
  151.6146    60.9501   -44.2990
  152.3846    61.4142   -39.2845
  154.6100    74.6598   -40.0678
  154.7050    70.4275   -32.2534
  304.9078    68.7656  -117.1080
  149.1271    49.9130   -56.4952
  294.3124    67.4830  -137.7179
  158.7743    73.9296   -38.9565
  146.4673    61.6945   -46.4559
  159.2244    81.8054   -37.8721
  163.5032    86.5755   -33.3345
  341.4914    89.7444    29.7263
  155.1331    60.1979   -37.1548
  305.0542    74.5558  -150.3421
  335.5576    56.7596  -139.9274
  346.3003    83.3609    33.4968
  342.2046    88.3781    28.4249
  162.9849    89.7292   -33.2432
  172.4956    75.9515   -38.0807
  161.3551    57.9864   -46.8998
  341.5582    88.1618    29.9916
  159.5127    88.6590   -28.7049
  163.3111    74.4342   -32.8100
  161.6139    79.2777   -36.9618
  158.0056    81.8562   -25.1266
  165.7804    70.6137   -39.2485
  162.0264    87.5284   -26.1202
  347.1985    81.6826    22.2558
  343.7054    88.7591    20.0938
  346.7500    79.6239    25.7809
  341.8912    89.3144    24.9134
  173.9534    88.5498   -30.1635
  342.6106    79.9630    23.8201
  344.1277    86.6958    27.8063
  312.6691    64.8993  -137.6921
  334.6853    72.9557    18.7380
  346.9035    79.0102    23.4271
  339.4764    76.2016    20.4315
  312.9693    66.7920  -143.3621
  310.7644    64.9752  -143.3667
  350.1322    85.1932    30.1254
  309.8486    66.6608  -150.0831
  322.6523    61.0371  -141.1543
  313.1397    60.2867  -140.0603
  310.1243    58.1611  -145.8923
  340.1237    74.4095    24.5165
  150.9491    63.9770   -41.6772
  151.1949    48.1963   -34.8930
  323.2494    44.0467  -148.8058
  163.0023    75.7418   -32.7083
  356.2767    75.3797    28.9106
  168.9584    83.0456   -30.7929
  302.8901    69.2531  -167.2163
  168.6116    83.5955   -25.9010
  165.3184    65.6029   -30.6120
  168.1076    77.6265   -28.0930
  134.8083    53.4455   -62.6956
  312.4711    44.8037  -156.6816
  317.4419    35.6241  -154.1567
  164.6794    71.0624   -37.1083
  167.8998    71.4074   -26.7992
  179.7424    86.4333   -47.0797
  355.0480    81.5431    30.0686
  129.2812    53.4557   -70.0566
  157.8775    73.0004   -41.9388
  166.8394    76.0639   -28.0908
  168.4454    76.1378   -30.9913
  316.1879    46.8968  -141.6430
  326.1345    37.3392  -137.1276
  325.6044    37.0169  -138.7453
  168.6260    70.3243   -28.1497
  353.0807    75.8220    35.5138
  351.7804    78.6314    34.0687
  347.9337    80.9834    28.7101
  354.8632    70.0976    30.9578
  304.5785    55.6021  -135.2239
   36.0372    53.8579    52.5893
   29.7507    53.4065    64.9077
   39.1878    54.3188    48.5976
   12.3606    33.5770    49.3823
  354.6101    78.0799    35.8160
  148.6052    62.5369   -38.9626
  152.3185    61.4881   -40.6370
  157.8593    66.5092   -36.6994
  150.1019    54.8442   -48.9864
  154.7861    63.5806   -38.5414
  156.4879    71.5318   -29.0262
  146.0385    73.7821   -43.6120
  148.9645    65.8128   -38.6458
  164.1781    72.4124   -39.6985
  151.4594    67.7673   -41.9876
  156.4802    69.7545   -40.9269
  157.1335    71.7807   -40.6112
  158.0060    72.8919   -40.6335
  156.0658    66.1822   -47.2486
  156.1092    78.0286   -41.2684
  161.6160    75.5153   -34.0065
  160.3030    75.0410   -42.3750
  158.0661    73.1644   -40.7927
  159.9921    76.2686   -32.3674
  155.6014    73.0782   -34.3016
  157.9865    84.2629   -29.0678
  151.2405    68.4918   -38.4131
  154.0175    74.2154   -22.5920
  343.3456    86.5959    27.0701
  327.3528    43.4000  -143.7597
  310.3842    63.9700  -152.3686
  157.5196    57.7538   -25.8050
  327.5937    34.2493  -142.5075
  347.9035    78.1229    24.0609
  348.2769    82.2550    29.7878
  350.2751    85.6667    27.8987
  172.4631    76.8571   -34.1581
  157.0643    83.3994   -34.1433
  357.9463    78.6637    35.1878
  158.1753    48.9530   -37.2118
  158.4764    54.3339   -41.7757
  153.4780    49.1241   -37.5342
  156.2093    45.1646   -40.4038
  147.6915    48.6001   -50.5787
  153.8181    51.4843   -45.8726
  300.2145    59.8343  -143.4792
  297.1263    60.9788  -146.4551
  318.7281    63.6226  -138.9863
  321.3957    68.0094  -136.9882
  298.3307    78.9255  -155.4483
  317.8796    55.1776  -147.2225
  314.2648    62.6462  -146.5858
  315.7060    71.7169  -136.7129
  317.2558    64.4073  -151.2294
  298.3232    74.6898  -131.0834
  317.9843    67.1772  -149.1203
  320.4136    57.3965  -147.4317
  315.9747    68.4497  -159.2255
  287.8470    77.2410  -137.9765
  315.4604    68.4812  -146.0070
  310.7130    75.9773  -153.2610
  313.5082    67.0044  -153.5882
  306.1176    70.8826  -143.2490
  319.5355    53.7881  -137.7294
  302.7599    65.7358  -140.9412
  326.5601    44.6798  -156.7390
  315.2814    51.3673  -152.0728
  302.1736    73.6908  -145.8093
